time,price,size
2024-12-30 14:43:11+00:00,2.785,0.0
2024-12-30 14:43:11+00:00,2.775,0.0
2024-12-30 14:43:11+00:00,2.765,0.0
2024-12-30 14:43:11+00:00,2.76,0.0
2024-12-30 14:43:11+00:00,2.755,0.0
2024-12-30 14:43:11+00:00,2.75,0.0
2024-12-30 14:43:11+00:00,2.745,0.0
2024-12-30 14:43:11+00:00,2.74,0.0
2024-12-30 14:43:11+00:00,2.73,0.0
2024-12-30 14:43:11+00:00,2.725,0.0
2024-12-30 14:43:11+00:00,2.72,0.0
2024-12-30 14:43:11+00:00,2.715,0.0
2024-12-30 14:43:11+00:00,2.72,0.0
2024-12-30 14:43:11+00:00,2.715,0.0
2024-12-30 14:43:11+00:00,2.72,0.0
2024-12-30 14:43:11+00:00,2.73,0.0
2024-12-30 14:43:11+00:00,2.735,0.0
2024-12-30 14:43:11+00:00,2.74,0.0
2024-12-30 14:43:11+00:00,2.745,0.0
2024-12-30 14:43:11+00:00,2.755,0.0
2024-12-30 14:43:11+00:00,2.76,0.0
2024-12-30 14:43:11+00:00,2.765,0.0
2024-12-30 14:43:11+00:00,2.76,0.0
2024-12-30 14:43:11+00:00,2.755,0.0
2024-12-30 14:43:11+00:00,2.745,0.0
2024-12-30 14:43:11+00:00,2.75,0.0
2024-12-30 14:43:11+00:00,2.74,0.0
2024-12-30 14:43:11+00:00,2.745,0.0
2024-12-30 14:43:11+00:00,2.74,0.0
2024-12-30 14:43:11+00:00,2.745,0.0
2024-12-30 14:43:11+00:00,2.735,0.0
2024-12-30 14:43:12+00:00,2.725,0.0
2024-12-30 14:43:12+00:00,2.71,0.0
2024-12-30 14:43:12+00:00,2.695,0.0
2024-12-30 14:43:12+00:00,2.69,0.0
2024-12-30 14:43:12+00:00,2.685,0.0
2024-12-30 14:43:12+00:00,2.68,0.0
2024-12-30 14:43:12+00:00,2.67,0.0
2024-12-30 14:43:12+00:00,2.675,0.0
2024-12-30 14:43:12+00:00,2.68,0.0
2024-12-30 14:43:12+00:00,2.685,0.0
2024-12-30 14:43:12+00:00,2.69,0.0
2024-12-30 14:43:12+00:00,2.685,0.0
2024-12-30 14:43:12+00:00,2.68,0.0
2024-12-30 14:43:12+00:00,2.685,0.0
2024-12-30 14:43:12+00:00,2.69,0.0
2024-12-30 14:43:12+00:00,2.685,0.0
2024-12-30 14:43:12+00:00,2.68,0.0
2024-12-30 14:43:12+00:00,2.665,0.0
2024-12-30 14:43:12+00:00,2.685,0.0
2024-12-30 14:43:12+00:00,2.68,0.0
2024-12-30 14:43:12+00:00,2.67,0.0
2024-12-30 14:43:12+00:00,2.685,0.0
2024-12-30 14:43:12+00:00,2.675,0.0
2024-12-30 14:43:12+00:00,2.67,0.0
2024-12-30 14:43:12+00:00,2.665,0.0
2024-12-30 14:43:12+00:00,2.66,0.0
2024-12-30 14:43:12+00:00,2.655,0.0
2024-12-30 14:43:12+00:00,2.65,0.0
2024-12-30 14:43:12+00:00,2.645,0.0
2024-12-30 14:43:12+00:00,2.65,0.0
2024-12-30 14:43:12+00:00,2.645,0.0
2024-12-30 14:43:12+00:00,2.65,0.0
2024-12-30 14:43:12+00:00,2.65,0.0
2024-12-30 14:43:12+00:00,2.645,0.0
2024-12-30 14:43:12+00:00,2.64,0.0
2024-12-30 14:43:12+00:00,2.645,0.0
2024-12-30 14:43:12+00:00,2.64,0.0
2024-12-30 14:43:12+00:00,2.645,0.0
2024-12-30 14:43:12+00:00,2.65,0.0
2024-12-30 14:43:12+00:00,2.645,0.0
2024-12-30 14:43:13+00:00,2.65,0.0
2024-12-30 14:43:13+00:00,2.645,0.0
2024-12-30 14:43:13+00:00,2.64,0.0
2024-12-30 14:43:13+00:00,2.635,0.0
2024-12-30 14:43:13+00:00,2.625,0.0
2024-12-30 14:43:13+00:00,2.62,0.0
2024-12-30 14:43:13+00:00,2.615,0.0
2024-12-30 14:43:13+00:00,2.61,0.0
2024-12-30 14:43:13+00:00,2.605,0.0
2024-12-30 14:43:13+00:00,2.61,0.0
2024-12-30 14:43:13+00:00,2.62,0.0
2024-12-30 14:43:13+00:00,2.625,0.0
2024-12-30 14:43:13+00:00,2.615,0.0
2024-12-30 14:43:13+00:00,2.62,0.0
2024-12-30 14:43:13+00:00,2.625,0.0
2024-12-30 14:43:13+00:00,2.635,0.0
2024-12-30 14:43:13+00:00,2.64,0.0
2024-12-30 14:43:13+00:00,2.645,0.0
2024-12-30 14:43:13+00:00,2.65,0.0
2024-12-30 14:43:13+00:00,2.655,0.0
2024-12-30 14:43:13+00:00,2.645,0.0
2024-12-30 14:43:13+00:00,2.65,0.0
2024-12-30 14:43:13+00:00,2.655,0.0
2024-12-30 14:43:13+00:00,2.665,0.0
2024-12-30 14:43:13+00:00,2.675,0.0
2024-12-30 14:43:13+00:00,2.68,0.0
2024-12-30 14:43:13+00:00,2.67,0.0
2024-12-30 14:43:13+00:00,2.66,0.0
2024-12-30 14:43:13+00:00,2.655,0.0
2024-12-30 14:43:13+00:00,2.65,0.0
2024-12-30 14:43:13+00:00,2.655,0.0
2024-12-30 14:43:13+00:00,2.675,0.0
2024-12-30 14:43:13+00:00,2.67,0.0
2024-12-30 14:43:13+00:00,2.665,0.0
2024-12-30 14:43:13+00:00,2.66,0.0
2024-12-30 14:43:13+00:00,2.65,0.0
